Date,Stars,Reviews,BankName
10-04-2017,5,"Great job, PNB Housing! Each person was professional and helped us move through our refinance process smoothly. Thank you!",PNB Housing Finance
10-02-2017,5,"Matthew Richardson is professional and helpful. He helped us find the correct product for our mortgage. Thank you very much for the excellent service, Matthew!",PNB Housing Finance
21-08-2017,5,"We had a past experience with PNB HousingMortgage and would without question use again and again if needed!! PNB Housingwent beyond the extra mile to not only right a wrong encountered from the servicer we were dealing on our previous loan, but they pulled together and found a viable option for us that ultimately saved us money. We would highly recommend Brad Thomka and the PNB Housing Finance team for your mortgage needs. Sincerest thanks Wyndham!! Ed & Lind",PNB Housing Finance
17-12-2017,5,"We have been dealing with Brad Thomka from the beginning of what started out to be a very stressful time for us, but with the help from Brad and the entire PNB HousingMortgage team it was turned into a happy ending!! Brad and PNB Housingwent beyond the extra mile to not only right a wrong encountered from the servicer we were dealing on our previous loan, but they pulled together and found a viable option for us that ultimately saved us money. We are indebted and would highly recommend Brad Thomka and the PNB Housing Finance team for your mortgage needs. Sincerest thanks Wyndham!! Ed & LindRead Less",PNB Housing Finance
27-05-2016,5,"I can't express how grateful I am for the support that Zach provided to me and my family during this home purchase! His customer service, responsiveness and professional demeanor is second to none. He was very thorough and took the time to educate me about the process along the way. I highly recommend working with Zach and PNB Housing!",PNB Housing Finance
20-12-2016,5,"I had the pleasure of working with PNB Housing in September 2018 as my family and I were making a home purchase in Columbus, OH. From the original conversation with the loan officer to underwriting and all the way through closing, the entire team from PNB Housingwas very responsive and professional. I was VERY impressed with how smooth their process was and how timely the communication was given how stressful of a process home buying (and selling) can be",PNB Housing Finance
17-12-2017,5,"My experience with Mattison was beyond greatly professionally done!! She really cares about her clients needs! She stays on top of everything and if there was a misunderstanding, she would be on top of it for you. Overall she truly bends her back professionally for her clients. She is a wonderful person!",PNB Housing Finance
16-08-2016,5,Patrick answered all my questions by email immediately and he spent a lot of time making sure I got the right loan for my situation. The portal they use is extremely easy and we closed on the refinance with 2 weeks. Very pleased with the customer service and intend on using Patrick again when we refinance later!!!!,PNB Housing Finance
04-09-2017,5,"I loved working with this group of people! They laughed with me over the phone! Always answered my questions and moved the loan along as quickly as possible! Knowledgeable staff! While we were shopping around for a lender, one lender badmouthed Wyndham, they lost my business because of it. When I told PNB Housingabout it, they had the class not to say anything negative about another company, just to get the ""sell""",PNB Housing Finance
22-03-2016,5,Great web interface for both the loan application and document upload and download features. Quick responses to any questions or concerns. Willingness to communicate almost exclusively via email...as phone calls weren't always an option for us.,PNB Housing Finance
02-04-2017,4,"Working with Michelle and PNB Housingwent really well for me. As a first time homeowner and this being my first refinance, I feel that this process was smooth and successful. I will definitely recommend Michelle to friends and family.",PNB Housing Finance
06-02-2016,4,"usten Butler brought the humanity and connection to what can be a very stiff, lifeless, and scary transaction. Not only that, it is quite possibly the largest purchase my wife and I will ever make. We didn't simply want to transact with a faceless institution. A lot was riding on picking the right house and making sure everything would work out. Austen was there for us, every step of the way. It's true. Austen got us the best deal. Yes, that's also true. But it's more than that. From when we first starting looking to over a year later when we found the home we wanted, his presence, positivity, and guidance gave us the confidence to take the step and move into our dream home. It's made a HUGE difference for our family, we're right where we want to be, have 13 kids on our block, and couldn't be happier - and it's all thanks to Austen Butler's help.",PNB Housing Finance
